day,hpa,rainfall,temp_av,temp_max,temp_min,humidity_av,humidity_min,suntime,day,screentime
17,1007.5,0,11.2,17.2,5.9,36,20,8.3,17,400
18,1020.5,0,7,11.5,3.8,36,23,6.7,18,634
19,1020.2,0,7,10.6,3.4,53,35,3.3,19,432
20,1008.7,0,8.5,13.5,4.6,59,39,6.8,20,654
21,1008.3,0,7.7,13.1,3.3,41,21,9,21,794
22,1015,0,5.3,10.1,1.5,38,24,9,22,243
23,1023.8,0,5,10.6,0.1,47,24,9,23,741
24,1023.9,0,4.9,8.8,2,55,41,3,24,558
25,1018.2,0,6.3,12.1,1,56,35,8.8,25,646
26,1019.2,0,7.6,13.2,2.6,58,33,8.9,26,697
27,1022.5,0,8.4,12.6,4.3,50,39,4.4,27,729
28,1022.6,0,7,10.8,4.4,56,41,6.2,28,881
29,1018.2,0,7.8,13.8,2.2,61,37,7.1,29,928
30,1017.3,0,9,14.4,4.4,63,40,7.1,30,907
31,1004,1.5,9.2,12.7,5.8,79,62,3.7,31,851
